family	symbol	c_signature	header	javacpp	datalevin_callers	dtlv_internal	condition
dlmdb.kv	mdb_del	int (MDB_txn *, MDB_dbi, MDB_val *, MDB_val *)	src/lmdb/libraries/liblmdb/dlmdb.h:1529	yes	src/java/datalevin/cpp/Dbi.java	no	default
dlmdb.database	mdb_drop	int (MDB_txn *, MDB_dbi, int)	src/lmdb/libraries/liblmdb/dlmdb.h:1347	yes	src/datalevin/binding/cpp.clj;src/java/datalevin/ha/LMDBLogStorage.java	no	default
dlmdb.environment	mdb_env_close	void (MDB_env *)	src/lmdb/libraries/liblmdb/dlmdb.h:813	yes	src/java/datalevin/cpp/Env.java	no	default
dlmdb.environment	mdb_env_copy	int (MDB_env *, const char *)	src/lmdb/libraries/liblmdb/dlmdb.h:707	yes		no	default
dlmdb.environment	mdb_env_copy2	int (MDB_env *, const char *, unsigned int)	src/lmdb/libraries/liblmdb/dlmdb.h:747	yes	src/java/datalevin/cpp/Env.java	no	default
dlmdb.environment	mdb_env_copyfd	int (MDB_env *, mdb_filehandle_t)	src/lmdb/libraries/liblmdb/dlmdb.h:722	no		no	default
dlmdb.environment	mdb_env_copyfd2	int (MDB_env *, mdb_filehandle_t, unsigned int)	src/lmdb/libraries/liblmdb/dlmdb.h:766	no		no	default
dlmdb.environment	mdb_env_create	int (MDB_env **)	src/lmdb/libraries/liblmdb/dlmdb.h:557	yes	src/java/datalevin/cpp/Env.java	no	default
dlmdb.environment	mdb_env_get_fd	int (MDB_env *, mdb_filehandle_t *)	src/lmdb/libraries/liblmdb/dlmdb.h:871	no		no	default
dlmdb.environment	mdb_env_get_flags	int (MDB_env *, unsigned int *)	src/lmdb/libraries/liblmdb/dlmdb.h:841	yes	src/java/datalevin/cpp/Env.java	no	default
dlmdb.environment	mdb_env_get_maxkeysize	int (MDB_env *)	src/lmdb/libraries/liblmdb/dlmdb.h:965	yes		no	default
dlmdb.environment	mdb_env_get_maxreaders	int (MDB_env *, unsigned int *)	src/lmdb/libraries/liblmdb/dlmdb.h:936	yes		no	default
dlmdb.environment	mdb_env_get_path	int (MDB_env *, const char **)	src/lmdb/libraries/liblmdb/dlmdb.h:855	yes		no	default
dlmdb.environment	mdb_env_get_userctx	void *(MDB_env *)	src/lmdb/libraries/liblmdb/dlmdb.h:980	yes		no	default
dlmdb.environment	mdb_env_info	int (MDB_env *, MDB_envinfo *)	src/lmdb/libraries/liblmdb/dlmdb.h:782	yes	src/java/datalevin/cpp/Info.java	no	default
dlmdb.environment	mdb_env_open	int (MDB_env *, const char *, unsigned int, mdb_mode_t)	src/lmdb/libraries/liblmdb/dlmdb.h:691	yes	src/java/datalevin/cpp/Env.java	no	default
dlmdb.environment	mdb_env_set_assert	int (MDB_env *, MDB_assert_func *)	src/lmdb/libraries/liblmdb/dlmdb.h:1008	yes		no	default
dlmdb.environment	mdb_env_set_flags	int (MDB_env *, unsigned int, int)	src/lmdb/libraries/liblmdb/dlmdb.h:829	yes	src/java/datalevin/cpp/Env.java	no	default
dlmdb.environment	mdb_env_set_interrupt	int (MDB_env *, int)	src/lmdb/libraries/liblmdb/dlmdb.h:991	no		no	default
dlmdb.environment	mdb_env_set_mapsize	int (MDB_env *, mdb_size_t)	src/lmdb/libraries/liblmdb/dlmdb.h:905	yes	src/java/datalevin/cpp/Env.java	no	default
dlmdb.environment	mdb_env_set_maxdbs	int (MDB_env *, MDB_dbi)	src/lmdb/libraries/liblmdb/dlmdb.h:956	yes	src/java/datalevin/cpp/Env.java	no	default
